Currency,Rate,Abbrevation
Argentine Peso,8.508,C1
Australian Dollar,1.142727,C2
Bahraini Dinar,0.37702,C3
Botswana Pula,9.532888,C4
Brazilian Real,2.6016,C5
British Pound,0.638203,C6
Bruneian Dollar,1.298045,C7
Bulgarian Lev,1.55956,C8
Canadian Dollar,1.1288,C9
Chilean Peso,593.200012,C10
Chinese Yuan Renminbi,6.1331,C11
Colombian Peso,2158,C12
Croatian Kuna,6.151196,C13
Czech Koruna,22.1047,C14
Danish Krone,5.942875,C15
Emirati Dirham,3.673,C16
Euro,0.79836,C17
Hong Kong Dollar,7.754475,C18
Hungarian Forint,244.2995,C19
Icelandic Krona,123.8,C20
Indian Rupee,61.845999,C21
Indonesian Rupiah,12166.9,C22
Iranian Rial,26758,C23
Israeli Shekel,3.8165,C24
Japanese Yen,116.28,C25
Kazakhstani Tenge,181,C26
Kuwaiti Dinar,0.291,C27
Latvian Lat,0.561087,C28
Libyan Dinar,1.305,C29
Lithuanian Litas,2.756577,C30
Malaysian Ringgit,3.3465,C31
Mauritian Rupee,31.3,C32
Mexican Peso,13.53392,C33
Nepalese Rupee,99.71581,C34
New Zealand Dollar,1.264302,C35
Norwegian Krone,6.748245,C36
Omani Rial,0.385,C37
Pakistani Rupee,101.7,C38
Philippine Peso,44.93,C39
Polish Zloty,3.37675,C40
Qatari Riyal,3.6414,C41
Romanian New Leu,3.5365,C42
Russian Ruble,47.21745,C43
Saudi Arabian Riyal,3.7516,C44
Singapore Dollar,1.298045,C45
South African Rand,11.082405,C46
South Korean Won,1100.5,C47
Sri Lankan Rupee,130.992926,C48
Swedish Krona,7.38837,C49
Swiss Franc,0.95912,C50
Taiwan New Dollar,30.7695,C51
Thai Baht,32.85,C52
Trinidadian Dollar,6.3185,C53
Turkish Lira,2.230415,C54
Venezuelan Bolivar,6.295,C55
US Dollar,1,C56
